timestamp,download_speed,upload_speed,latency
2023-05-17 21:24:42,511.21,102.45,10.6
2023-05-17 21:25:09,494.88,103.02,5.54
2023-05-17 21:25:37,471.55,99.21,5.68
2023-05-17 21:26:05,514.98,102.87,5.74
2023-05-17 21:26:32,500.68,103.82,5.57
2023-05-17 21:26:59,490.22,102.87,5.73
2023-05-17 21:27:27,502.29,104.22,5.02
2023-05-17 21:27:54,507.4,103.87,5.87
2023-05-17 21:28:22,496.57,104.05,5.33
2023-05-17 21:28:49,513.22,104.03,7.42
2023-05-17 21:29:16,508.93,103.17,5.23
2023-05-17 21:29:44,502.52,102.12,7.65
