timestamp,download_speed,upload_speed,latency
2023-05-19 17:02:31,133.22,126.71,14.6
2023-05-19 17:03:03,176.24,125.2,7.94
2023-05-19 17:03:34,191.32,123.89,15.74
2023-05-19 17:04:06,197.86,124.7,15.52
2023-05-19 17:04:38,187.52,118.33,13.25
2023-05-19 17:05:10,186.57,119.92,16.6
2023-05-19 17:05:42,195.08,123.34,14.96
2023-05-19 17:06:13,197.0,122.03,13.65
2023-05-19 17:06:45,202.32,122.86,14.2
2023-05-19 17:07:17,180.92,118.93,15.6
2023-05-19 17:07:49,192.15,126.6,13.17
2023-05-19 17:08:20,191.17,124.83,13.11
2023-05-19 17:08:52,188.65,121.54,14.31
