timestamp,download_speed,upload_speed,latency
2023-05-17 22:01:57,478.89,80.27,9.59
2023-05-17 22:02:25,505.81,101.89,5.48
2023-05-17 22:02:52,514.95,95.72,5.68
2023-05-17 22:03:19,506.59,102.17,5.05
2023-05-17 22:03:47,499.13,103.36,5.58
2023-05-17 22:04:14,497.34,102.68,5.73
2023-05-17 22:04:41,513.41,103.93,5.83
2023-05-17 22:05:09,503.16,103.74,5.66
2023-05-17 22:05:36,513.68,104.09,5.24
2023-05-17 22:06:03,506.63,103.49,5.2
2023-05-17 22:06:31,493.6,104.09,5.74
2023-05-17 22:06:58,513.85,101.57,6.82
2023-05-17 22:07:25,503.27,100.19,7.82
2023-05-17 22:07:53,501.51,102.87,5.26
2023-05-17 22:08:20,507.48,103.58,5.0
2023-05-17 22:08:47,512.8,102.49,5.45
